ENSG00000105372,ENSG00000174111,ENSG00000248309,ENSG00000113068,ENSG00000186469,ENSG00000066322,ENSG00000231500,ENSG00000172172,ENSG00000239998,ENSG00000133574,ENSG00000162910,ENSG00000164587,ENSG00000143546,ENSG00000130255,ENSG00000173171,ENSG00000177105,ENSG00000197956,ENSG00000186074,ENSG00000115286,ENSG00000122694,ENSG00000179361,ENSG00000198242,ENSG00000119705,ENSG00000186468,ENSG00000266402,ENSG00000197756,ENSG00000145592,ENSG00000174718,ENSG00000104979,ENSG00000100300,ENSG00000198734,ENSG00000121858,ENSG00000167085,ENSG00000127184,ENSG00000124207,ENSG00000034510,ENSG00000111540,ENSG00000138376,ENSG00000125753,ENSG00000134333,ENSG00000161999,ENSG00000189343,ENSG00000132591,ENSG00000151500,ENSG00000187741,ENSG00000251442,ENSG00000238278,ENSG00000108591,ENSG00000101150,ENSG00000117360,ENSG00000255325,ENSG00000127252,ENSG00000184205,ENSG00000108094,ENSG00000113719,ENSG00000104412,ENSG00000100823,ENSG00000048707,ENSG00000163931,ENSG00000163754,ENSG00000112739,ENSG00000102241,ENSG00000107201,ENSG00000179295,ENSG00000038382,ENSG00000138246,ENSG00000173065,ENSG00000148572,ENSG00000013441,ENSG00000213516,ENSG00000053254,ENSG00000172270,ENSG00000049192,ENSG00000217128,ENSG00000172757,ENSG00000117118,ENSG00000137672,ENSG00000104331,ENSG00000125249,ENSG00000155629,ENSG00000100029,ENSG00000164022,ENSG00000173681,ENSG00000100028,ENSG00000105171,ENSG00000185344,ENSG00000101082,ENSG00000090989,ENSG00000087502,ENSG00000184863,ENSG00000185340,ENSG00000143977,ENSG00000174652,ENSG00000180448,ENSG00000187554,ENSG00000008130,ENSG00000125124,ENSG00000173511,ENSG00000062716,ENSG00000185246,ENSG00000151612,ENSG00000196655,ENSG00000119977,ENSG00000135655,ENSG00000189229,ENSG00000160593,ENSG00000197712,ENSG00000169375,ENSG00000198836,ENSG00000078053,ENSG00000203879,ENSG00000196323,ENSG00000116711,ENSG00000163611,ENSG00000226777,ENSG00000109113,ENSG00000229474,ENSG00000224165,ENSG00000130150,ENSG00000140254,ENSG00000115355,ENSG00000188026,ENSG00000092203,ENSG00000128309,ENSG00000102158,ENSG00000146070,ENSG00000112343,ENSG00000253394,ENSG00000183765,ENSG00000198276,ENSG00000187210,ENSG00000149089,ENSG00000090621,ENSG00000204186,ENSG00000163466,ENSG00000149600,ENSG00000198873,ENSG00000164327,ENSG00000163041,ENSG00000138593,ENSG00000131495,ENSG00000238683,ENSG00000255007,ENSG00000100711,Group
4,0,3,0,0,0,3,0,0,0,1,4,3,3,0,0,0,0,0,0,1,3,1,0,0,3,3,2,1,0,0,0,0,3,4,3,1,2,3,3,0,3,0,0,2,0,0,0,3,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,4,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,4,2,0,3,0,0,0,0,0,0,3,0,0,0,0,3,2,4,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0,3,0,5,4,3,0,3,0,0,3,0,4,CRC
3,0,2,0,0,1,4,2,1,0,1,4,4,3,0,1,2,0,1,1,1,3,0,0,0,2,3,2,1,2,0,0,2,2,2,3,2,2,3,3,2,3,0,0,1,0,0,1,1,0,3,3,2,0,1,2,2,2,3,2,0,1,1,2,2,0,0,0,2,2,1,4,0,1,5,0,2,1,0,3,1,1,1,2,1,1,3,0,2,1,3,0,2,4,2,2,2,0,3,0,0,2,0,3,0,2,1,1,3,0,3,0,2,0,1,0,0,0,2,0,2,1,1,2,0,0,1,3,0,0,1,0,0,0,5,3,2,1,3,2,0,3,1,3,CRC
4,0,2,0,0,1,4,2,0,0,0,4,3,3,0,0,2,0,0,1,1,2,1,1,0,3,3,1,1,2,0,0,1,2,2,3,2,3,2,2,2,3,1,2,0,0,0,0,2,0,3,3,1,0,1,2,1,1,3,2,0,1,0,3,0,0,0,0,1,2,2,4,0,1,5,2,2,1,0,1,0,0,2,2,0,1,2,0,2,1,3,1,0,4,1,1,1,1,1,1,0,0,1,3,0,2,0,0,2,0,4,0,2,0,2,2,0,0,0,0,1,1,2,2,1,0,2,3,0,0,0,2,2,0,5,3,3,0,3,2,0,3,2,3,CRC
5,2,2,2,2,2,5,2,2,2,2,5,5,4,0,2,4,2,3,3,0,4,3,4,2,4,4,3,2,3,2,2,2,4,2,5,2,2,3,3,0,3,2,2,0,0,0,2,2,2,2,2,3,2,0,2,2,2,4,3,2,1,2,2,0,2,0,0,4,2,1,3,0,2,4,2,2,0,0,2,2,3,0,2,2,0,3,2,2,2,0,3,0,2,3,3,1,0,4,0,1,2,2,4,0,4,2,0,3,0,4,0,2,0,2,1,2,2,3,0,3,2,3,2,2,2,2,3,0,2,0,2,3,0,5,3,2,2,3,2,2,1,2,2,HBC
4,2,2,2,0,2,4,2,0,0,1,4,4,3,0,1,2,0,1,2,2,3,0,2,1,3,3,2,2,2,0,0,1,3,2,4,2,2,2,2,0,1,0,2,0,0,0,2,1,0,3,2,2,2,0,2,0,2,2,2,0,0,0,2,0,1,0,0,0,2,0,4,0,0,4,0,2,0,0,1,1,0,0,2,2,1,4,0,1,1,2,1,0,1,2,1,1,0,2,0,0,1,0,3,0,0,2,1,3,0,4,0,2,1,2,0,1,0,1,0,0,1,2,1,1,0,1,3,1,0,0,0,0,0,5,3,2,1,3,2,0,1,2,3,HBC
5,2,2,2,2,2,5,1,0,2,2,5,5,4,0,2,3,1,2,2,0,4,2,3,2,4,4,2,2,2,0,1,2,3,2,4,2,2,2,3,0,2,1,2,1,0,0,0,2,0,3,2,2,1,0,2,1,1,3,2,0,0,2,1,0,1,0,0,2,2,1,4,0,0,4,2,1,0,0,2,1,2,0,2,2,0,3,0,2,0,0,2,0,1,2,2,0,0,2,0,0,1,0,3,0,2,1,2,3,1,3,0,1,0,2,0,0,0,1,0,2,1,2,1,1,2,1,3,0,0,0,1,0,0,5,3,2,0,3,2,1,0,2,2,HBC
5,2,2,2,2,2,5,2,1,2,1,5,3,4,1,1,3,0,2,2,1,4,2,3,1,4,4,2,2,2,0,0,2,3,2,4,2,2,1,2,0,2,0,2,0,0,0,1,1,2,3,2,1,1,0,2,2,1,2,1,2,1,0,2,0,2,0,0,2,2,0,3,0,0,4,2,1,0,0,2,1,0,0,2,1,0,3,1,2,1,1,2,0,1,2,1,1,0,2,0,1,2,1,3,0,1,1,2,3,0,3,0,2,0,1,0,1,0,1,0,1,1,2,1,1,1,1,3,0,0,0,2,1,0,5,3,2,0,3,2,1,1,1,2,HBC
5,2,2,1,1,2,4,2,1,2,1,4,4,4,0,1,3,0,2,1,2,4,1,3,1,4,4,1,2,2,1,1,2,3,2,4,2,2,2,3,0,1,1,1,0,1,0,0,1,1,2,2,2,1,0,2,1,1,2,1,0,0,1,1,0,2,1,1,1,2,0,3,0,0,4,2,1,0,0,2,1,2,0,1,2,0,4,0,2,0,1,2,0,1,2,1,1,0,2,1,0,1,0,3,0,1,1,1,3,0,3,0,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,0,1,0,0,4,3,2,0,3,2,1,1,1,2,HBC
5,0,2,1,2,2,5,2,2,2,2,5,5,3,1,2,4,1,2,3,2,3,2,3,1,3,3,2,2,2,2,2,2,3,2,4,3,2,2,3,0,2,1,2,0,0,0,1,2,2,3,2,2,2,0,2,1,1,3,2,2,0,2,2,0,2,0,2,2,2,0,3,0,0,4,2,1,0,0,2,1,2,0,2,2,1,4,2,2,0,0,2,0,2,3,3,2,0,3,2,0,1,1,3,0,3,0,2,3,0,4,0,2,0,1,0,2,0,2,0,2,1,2,1,2,2,0,3,1,1,0,0,1,0,5,3,2,2,3,2,0,2,0,3,HBC
5,1,2,1,1,2,5,1,2,2,2,5,5,4,1,2,4,1,2,2,2,4,2,3,1,4,4,2,1,2,2,1,2,3,2,4,2,2,2,3,0,2,2,2,2,0,0,1,2,2,3,2,0,2,1,2,2,2,3,2,2,1,1,2,0,2,0,1,2,2,0,3,0,1,4,3,0,0,0,2,1,2,0,2,1,0,4,1,1,1,0,2,0,2,2,2,1,0,3,0,0,1,2,3,0,3,0,2,3,0,3,0,2,1,2,1,0,0,2,0,2,1,2,1,2,1,0,3,0,0,0,0,0,0,5,3,2,0,3,2,0,2,1,2,HBC
3,1,2,1,0,1,3,0,0,0,0,3,4,2,0,2,2,0,1,2,2,2,0,1,0,2,2,0,1,2,0,0,0,2,2,3,3,2,2,3,1,0,0,0,1,0,0,1,1,0,3,2,2,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,4,0,1,4,1,1,0,0,0,0,0,0,1,0,0,5,0,1,0,1,1,0,2,2,1,1,0,1,0,0,1,0,2,0,1,1,1,3,0,4,0,1,0,2,1,1,0,0,0,1,1,1,1,0,0,0,3,0,0,0,1,0,0,5,4,3,0,3,2,1,2,1,3,HBC
5,0,2,1,1,2,5,2,0,2,2,4,4,4,0,2,3,0,2,2,2,4,2,3,1,4,4,2,2,2,0,0,2,3,2,4,2,2,2,2,0,2,0,2,0,0,0,0,1,0,2,2,2,1,0,2,2,0,2,2,0,0,1,1,0,0,0,0,2,2,0,4,0,0,4,2,0,0,0,0,0,1,0,2,0,0,4,1,2,0,0,2,0,2,2,0,2,0,2,0,0,1,0,3,0,0,0,2,3,0,4,0,2,0,2,0,2,0,0,0,1,2,2,0,1,0,0,3,0,0,0,0,0,0,5,4,2,0,3,2,0,2,2,2,HBC
5,0,2,0,1,2,5,2,2,2,1,5,5,4,1,2,4,2,2,3,0,4,2,3,1,4,4,2,2,3,2,2,2,3,2,4,2,2,2,3,0,2,0,2,0,0,0,0,2,2,3,2,0,0,0,2,2,2,4,2,2,0,2,1,0,2,0,2,3,2,0,3,0,1,4,2,0,0,0,2,0,2,0,2,2,0,4,2,2,1,1,2,0,2,3,2,2,0,3,1,0,1,0,4,0,3,0,1,3,0,4,0,2,0,1,2,0,0,2,0,2,0,2,1,2,1,2,2,0,1,0,0,2,0,5,3,3,2,3,2,1,3,0,3,HBC
3,0,3,2,0,2,3,2,2,0,2,3,3,3,2,2,3,0,2,0,0,3,2,0,0,3,3,2,2,3,0,0,0,3,0,3,0,2,2,3,2,3,2,0,1,2,0,0,3,0,3,3,2,3,0,0,2,0,3,3,0,2,0,3,0,0,0,0,0,2,0,5,0,0,5,0,0,0,0,0,0,0,0,2,0,2,4,2,3,0,2,2,0,3,2,2,0,0,3,0,0,3,0,3,0,2,0,0,3,0,4,0,0,2,3,2,2,0,2,0,2,2,0,3,3,0,0,3,0,0,0,2,0,0,5,4,3,0,3,2,1,0,1,4,HBC
5,2,2,2,1,2,5,2,0,1,1,5,5,4,1,1,3,0,2,1,2,4,1,3,1,4,4,1,2,2,0,1,2,3,2,4,2,2,2,2,0,2,1,1,1,0,0,1,1,0,3,2,3,1,0,2,2,0,2,1,1,1,0,2,0,0,0,1,2,2,0,4,0,0,4,2,1,0,0,1,0,2,0,2,1,0,4,1,2,0,0,2,0,2,2,2,0,0,3,0,0,2,0,3,0,2,0,1,3,0,4,0,2,0,2,1,1,1,1,0,1,1,2,1,2,1,1,3,1,1,0,2,0,0,5,4,2,0,3,2,1,1,2,2,HBC
4,2,3,1,2,2,4,1,0,2,1,4,4,3,1,2,3,1,1,2,2,3,2,2,1,3,3,2,2,1,0,1,2,3,2,4,2,2,2,3,1,1,1,1,1,0,1,2,1,1,3,2,2,2,0,2,2,1,3,1,1,1,0,2,0,1,0,1,2,3,0,3,0,0,4,1,1,0,0,2,0,1,1,1,1,1,3,1,2,0,0,1,0,1,2,1,2,0,2,0,0,1,0,3,0,2,2,2,3,0,3,0,2,0,2,1,2,0,0,1,1,1,1,1,1,2,1,3,1,2,0,1,1,1,4,3,2,1,3,2,1,1,1,2,HBC
3,1,2,1,1,1,3,1,2,1,1,3,5,3,1,1,3,1,1,2,2,3,1,1,0,3,3,2,1,3,2,0,1,3,2,3,2,2,3,3,3,2,1,2,2,1,1,1,2,1,3,3,3,2,0,1,2,2,3,2,1,1,0,3,2,1,0,0,1,2,2,4,1,1,5,2,3,2,1,2,2,2,0,2,1,1,3,1,1,0,4,1,0,5,2,2,0,1,3,0,0,1,0,3,0,3,2,2,3,0,3,0,0,0,2,2,1,0,2,1,2,1,2,3,1,2,2,3,2,0,1,0,1,1,5,3,3,0,3,2,1,3,2,2,HBC
4,0,3,1,0,2,3,2,0,1,1,3,3,2,1,2,2,0,2,1,1,2,1,1,0,2,2,1,1,2,0,0,1,2,1,3,0,3,2,3,1,2,2,2,1,0,0,0,2,0,3,3,2,2,0,3,2,1,3,2,0,0,0,2,0,0,0,0,1,2,1,4,0,0,5,1,1,0,0,1,2,0,0,2,2,0,4,0,2,0,1,0,0,2,1,2,0,0,3,0,0,1,0,3,0,0,1,1,3,1,4,0,2,0,2,2,2,0,0,0,1,2,2,2,0,1,0,3,1,0,1,1,0,0,5,4,3,0,3,3,0,0,1,3,PAAD
5,0,2,1,2,2,5,2,1,1,1,5,4,3,0,0,4,0,1,2,2,3,1,2,0,3,4,2,1,1,0,1,2,3,3,4,2,2,2,4,0,2,2,2,0,0,0,2,2,2,2,2,2,2,1,2,2,2,4,2,2,1,2,2,0,3,0,1,2,2,1,3,0,0,4,2,2,0,0,2,2,2,0,2,2,0,4,2,2,1,0,2,0,1,2,2,2,0,2,2,0,2,2,4,0,2,0,2,4,0,4,0,2,0,2,1,2,0,2,0,2,1,2,0,1,1,2,3,2,0,0,2,2,0,5,4,2,0,2,2,0,0,0,3,PAAD
3,0,3,1,1,2,3,0,0,1,1,3,3,3,1,0,2,0,2,2,2,3,1,1,0,2,3,1,1,2,0,1,2,2,3,3,3,3,2,3,0,2,1,2,0,1,0,0,2,2,3,2,2,0,0,2,2,2,3,2,0,2,1,2,0,0,0,2,2,3,0,3,0,0,4,2,3,0,0,2,0,2,0,2,2,0,4,0,2,1,1,1,0,2,2,0,0,0,3,0,0,2,0,3,0,2,1,2,3,0,3,0,2,0,1,0,2,0,2,0,2,1,2,2,2,0,0,3,0,0,0,2,0,0,5,3,2,1,2,3,0,0,1,3,PAAD
4,0,3,1,1,0,4,1,0,0,0,4,3,3,0,0,3,1,0,2,1,3,1,1,0,3,3,1,2,1,0,0,1,2,2,3,2,2,2,2,0,2,1,2,0,0,0,2,2,2,3,2,2,2,0,2,1,0,1,2,0,2,2,2,0,0,0,1,2,2,0,3,2,0,4,2,2,0,0,2,0,0,0,2,1,0,3,0,0,0,0,2,0,2,2,2,2,0,3,1,0,2,0,3,0,2,0,2,3,0,3,0,2,0,2,0,2,0,0,0,2,1,2,0,2,1,2,4,1,0,0,2,0,0,5,3,2,0,2,2,0,0,2,3,PAAD
4,0,2,0,0,0,4,2,0,0,0,4,3,3,0,0,3,0,0,1,0,2,1,0,0,3,3,0,1,1,0,0,0,2,3,3,2,3,2,3,0,2,2,2,0,0,0,0,2,2,3,2,0,2,0,2,2,2,3,2,0,0,0,2,2,2,0,0,2,2,0,4,0,0,4,2,1,0,0,2,0,0,0,2,0,0,4,2,2,0,0,1,0,0,2,2,2,0,2,0,0,0,0,3,0,2,0,2,3,0,4,0,0,2,2,0,2,0,2,0,1,0,2,0,2,0,0,3,1,1,0,2,0,0,5,4,0,2,2,3,0,0,0,3,PAAD
4,0,2,0,1,1,4,0,0,1,1,3,3,2,0,0,2,0,1,1,1,2,0,1,0,3,2,1,1,1,0,0,1,2,2,3,2,1,1,3,0,1,0,1,0,0,0,1,1,0,2,2,0,1,0,2,2,2,2,1,2,1,1,1,0,0,0,0,2,2,0,3,0,0,3,1,0,0,0,2,1,2,0,1,1,0,4,2,2,0,0,1,0,0,2,1,2,0,2,0,0,0,0,3,0,2,0,1,3,0,3,0,2,0,1,0,1,0,2,0,2,0,1,0,1,0,0,2,0,0,0,2,1,0,5,3,2,2,1,3,0,0,0,3,PAAD
4,0,3,0,0,1,4,1,0,0,1,4,4,3,0,1,3,0,1,1,1,3,1,2,0,3,3,1,1,0,0,0,1,3,1,4,3,2,2,2,0,0,0,0,0,0,0,0,1,0,3,2,3,2,0,1,2,1,3,1,0,0,0,1,0,0,0,0,1,2,0,4,0,0,4,1,1,0,0,0,0,1,0,2,0,0,4,0,1,0,0,1,0,1,2,1,2,0,2,0,0,1,0,3,0,1,0,2,3,0,4,0,2,0,2,0,2,0,0,0,0,1,2,0,2,0,0,3,0,0,0,1,0,0,5,4,1,0,3,3,0,3,0,3,PAAD
4,0,3,1,1,2,4,2,1,0,1,4,4,3,0,0,3,0,1,2,2,3,1,0,0,3,3,1,2,2,2,0,2,3,3,3,3,3,2,3,0,2,2,2,0,0,0,0,2,1,3,2,2,2,0,2,2,1,3,3,0,0,2,2,0,3,0,1,2,2,0,3,0,0,4,2,2,0,0,3,0,1,0,2,1,0,4,2,2,0,0,2,0,0,2,2,3,0,3,0,0,1,0,3,0,3,1,2,3,0,3,0,2,2,1,0,0,0,2,0,2,1,2,0,2,1,2,3,2,2,0,2,2,0,5,3,2,0,2,2,0,0,0,3,PAAD
4,0,3,1,1,1,4,0,1,1,1,4,4,3,1,0,3,0,1,2,3,3,2,1,0,3,3,1,2,1,0,1,2,3,3,3,3,2,2,3,0,2,1,2,0,0,0,1,1,2,3,2,3,3,0,2,2,2,3,2,2,1,1,2,0,3,0,1,2,2,0,4,0,0,4,2,2,0,0,2,0,1,0,2,2,0,4,0,1,0,0,2,0,2,3,2,0,0,3,1,0,2,0,3,0,2,0,2,3,1,4,0,2,0,2,2,0,0,1,0,2,1,2,1,2,0,2,3,2,0,0,2,0,1,5,3,3,0,2,2,0,0,0,3,PAAD
4,0,3,0,1,2,4,1,0,1,1,4,4,3,0,1,3,0,1,2,1,3,1,1,0,3,3,1,1,2,0,1,1,2,2,3,3,2,1,2,0,2,1,1,0,0,0,0,1,1,3,2,2,0,0,2,0,2,3,2,0,0,0,2,0,0,0,0,2,2,0,4,0,0,4,2,1,0,0,1,1,0,0,2,1,0,4,0,2,0,1,1,0,2,2,2,1,0,2,0,0,0,0,3,0,2,1,1,3,0,4,0,0,1,2,0,2,0,0,0,2,1,2,1,2,0,0,3,1,0,0,1,0,0,5,4,2,0,3,2,0,3,1,3,PAAD
4,0,2,0,1,1,3,0,0,0,1,4,2,2,0,1,2,0,1,1,3,2,1,1,0,2,2,1,1,1,0,0,1,2,2,2,3,2,2,1,0,1,0,2,1,0,0,0,2,2,2,2,2,0,0,2,2,2,3,2,0,0,0,2,0,0,0,0,0,2,0,4,0,2,4,0,0,0,0,0,0,1,0,2,0,0,4,0,0,2,1,1,2,1,2,1,0,0,2,2,0,2,0,4,0,0,0,2,3,0,4,0,2,0,2,0,2,0,0,1,0,1,1,1,0,0,0,3,0,0,0,2,0,0,5,4,2,0,2,2,0,0,0,2,PAAD
4,0,3,0,2,1,4,2,0,2,2,4,4,3,0,0,3,0,1,2,2,3,2,2,0,3,3,2,0,2,0,0,2,3,3,4,3,3,2,3,0,2,2,2,0,0,0,2,2,2,3,2,0,2,0,2,1,2,3,2,0,2,2,2,0,3,0,2,2,2,0,4,0,2,4,2,0,0,0,2,0,2,2,2,2,0,4,0,2,2,0,2,0,2,3,2,0,0,3,0,0,2,2,4,0,2,0,3,4,0,4,0,0,0,2,0,0,0,3,0,3,0,2,0,0,0,0,3,0,2,0,2,2,0,5,4,2,1,2,2,0,0,0,3,PAAD
4,0,3,1,1,1,3,1,2,0,1,3,4,3,1,1,3,1,1,2,2,2,1,1,0,3,3,1,1,1,0,1,1,2,2,3,2,2,2,3,0,0,0,1,1,0,0,1,2,1,3,2,1,2,0,2,2,1,3,2,0,0,1,2,0,1,0,0,2,2,0,3,0,0,4,2,2,0,0,2,1,1,1,2,2,0,4,0,2,1,0,1,0,2,2,2,0,0,3,0,0,2,0,3,0,2,0,2,3,0,4,0,2,0,2,1,0,0,1,0,2,2,2,1,1,1,0,3,0,0,0,2,0,0,5,3,2,2,2,2,0,0,0,2,PAAD
4,0,3,0,1,2,4,2,1,1,1,4,4,3,1,0,3,1,0,2,2,3,1,1,0,3,3,2,1,1,1,1,1,2,2,4,3,2,2,3,0,1,2,2,0,0,0,0,2,2,2,2,2,2,0,2,1,1,4,2,2,0,2,1,0,1,0,1,2,2,0,3,0,0,4,2,0,0,0,3,1,2,0,2,2,0,4,0,2,0,0,0,0,2,3,2,0,0,4,1,2,1,0,4,0,3,0,2,3,0,4,0,0,0,2,1,0,0,1,0,2,1,2,0,2,1,0,2,1,1,0,0,2,0,5,4,2,2,1,2,0,0,0,3,PAAD
4,1,2,1,0,2,4,1,0,0,1,4,3,3,0,1,2,0,1,1,2,3,1,1,0,3,3,1,1,2,0,0,1,3,2,3,3,2,2,2,0,1,0,1,0,0,0,1,2,0,2,2,2,0,0,2,2,2,2,2,0,1,0,2,0,1,0,1,3,2,0,4,0,1,4,2,3,0,0,1,0,1,0,2,1,2,4,1,3,0,1,1,0,1,2,0,2,0,2,2,0,1,0,4,0,2,0,2,3,0,4,0,2,1,2,0,2,0,2,0,2,1,2,1,3,2,0,3,1,1,0,0,1,0,5,4,2,1,2,3,0,0,1,3,PAAD
4,1,2,1,0,2,4,1,1,1,0,4,4,3,0,1,3,0,2,2,2,3,0,1,0,3,3,0,2,2,1,1,2,2,2,3,3,2,2,2,0,1,1,2,0,0,0,1,2,2,2,2,2,2,0,2,2,0,3,2,0,2,2,2,0,2,0,1,2,2,0,3,1,0,4,2,0,0,0,2,2,2,0,2,0,0,4,2,2,2,0,1,0,2,2,2,2,0,2,2,0,2,0,2,0,2,2,2,2,0,4,0,0,0,2,1,0,0,1,0,1,1,2,0,0,1,0,2,2,2,0,1,0,0,5,4,2,0,2,2,0,0,0,3,PAAD
4,1,2,1,2,2,4,2,3,2,2,4,5,3,1,2,3,2,1,3,2,3,2,2,0,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,0,2,1,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,0,2,0,2,3,2,0,3,0,2,4,2,2,0,0,2,0,2,1,2,1,0,3,2,2,2,1,2,0,1,2,3,2,0,4,2,0,1,0,4,0,4,1,2,3,0,4,0,2,1,2,2,2,0,2,1,2,1,2,1,2,1,2,3,1,1,0,2,1,0,5,3,2,2,2,2,0,0,1,2,PAAD
3,0,3,0,0,0,3,1,0,0,0,3,4,2,0,0,3,0,0,1,0,2,0,0,0,3,3,0,0,0,0,0,0,2,3,3,2,3,1,3,0,2,0,2,0,0,0,0,2,2,2,2,0,2,0,2,2,1,3,0,0,2,0,0,0,0,0,1,2,2,0,3,0,0,3,2,2,0,0,0,0,2,0,2,1,0,3,0,2,0,0,0,0,0,2,1,2,0,2,0,0,0,0,3,0,2,0,2,3,0,3,0,2,0,1,0,2,0,0,0,3,0,2,0,2,0,0,3,2,2,0,2,0,0,4,3,2,2,2,3,0,0,0,3,PAAD
5,3,2,0,0,1,5,0,0,2,0,4,4,4,0,1,3,0,0,2,2,4,2,3,2,4,4,0,0,0,0,0,2,3,0,4,2,3,2,3,0,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,0,1,0,2,0,0,0,0,0,1,0,3,0,0,4,1,0,0,0,2,2,0,0,2,2,0,4,0,1,0,0,2,0,1,2,1,2,0,3,2,0,0,0,3,0,2,0,0,3,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,2,0,5,4,2,0,3,3,0,0,2,3,PAAD
3,0,3,0,0,1,3,1,0,1,1,3,3,3,0,0,3,0,1,1,1,3,0,0,0,3,3,1,1,1,0,0,0,2,1,3,3,3,2,3,0,1,0,2,0,0,0,1,2,0,3,3,3,0,1,3,2,0,3,0,0,0,1,3,0,0,0,0,2,1,2,3,0,0,4,2,1,0,0,1,0,0,0,1,1,0,4,3,0,0,1,1,0,2,3,3,0,0,3,1,0,0,0,3,0,3,0,2,3,0,3,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,0,3,0,1,1,1,0,0,5,3,3,0,2,3,0,0,0,3,PAAD
4,0,3,0,0,0,4,1,0,1,0,4,4,3,0,1,2,0,1,1,1,3,1,2,0,3,3,0,1,0,0,0,1,2,2,3,3,2,1,2,0,1,0,0,1,0,0,0,2,0,3,1,0,1,0,2,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0,0,0,1,0,2,1,0,5,0,2,0,0,1,0,0,2,0,0,0,2,0,0,1,0,3,0,0,0,1,3,0,4,0,1,0,2,0,2,0,0,0,1,0,2,0,1,0,0,3,1,0,0,1,0,0,5,3,2,0,3,2,0,2,0,3,PAAD
4,0,3,1,1,2,4,1,1,1,1,4,4,3,1,1,3,0,2,2,2,3,1,1,0,3,3,1,2,2,0,1,1,2,3,3,3,2,2,3,0,2,1,2,1,0,0,2,2,1,2,2,2,2,1,2,2,2,3,2,0,0,2,2,0,2,0,2,2,2,0,3,0,2,4,2,2,0,0,2,0,2,0,2,1,2,4,0,2,0,0,1,0,2,2,2,3,0,3,0,0,2,0,3,0,3,0,2,3,0,3,0,2,0,2,0,2,0,0,0,2,1,2,2,2,0,1,3,0,0,0,2,0,0,5,3,3,1,2,3,1,0,0,3,PAAD
4,0,3,1,1,2,3,1,0,1,0,3,2,2,0,1,2,0,1,1,2,2,1,1,0,2,2,1,1,1,1,0,1,2,3,3,3,2,2,3,0,2,2,2,1,0,0,2,2,1,2,2,2,2,0,2,2,2,3,2,0,0,0,2,0,1,0,0,2,2,0,4,0,0,4,1,2,0,0,1,1,1,0,1,1,0,4,1,2,0,1,1,0,2,2,0,1,0,2,0,0,1,0,3,0,2,0,2,3,0,4,0,1,1,1,1,2,0,1,0,2,1,2,1,1,1,0,3,0,0,1,1,2,0,5,3,2,1,2,3,1,0,1,2,PAAD
4,0,3,0,1,2,4,2,1,1,2,4,4,3,0,1,3,0,0,2,2,3,1,2,0,3,3,0,2,2,0,0,2,2,2,4,2,2,2,3,0,2,0,2,1,0,0,0,0,2,3,2,2,1,0,2,2,2,3,1,0,0,1,2,0,0,0,0,0,2,0,4,0,0,4,2,2,0,0,0,2,0,0,2,0,0,4,2,2,0,0,2,0,2,2,2,2,0,2,0,0,0,0,3,0,2,0,2,3,0,4,0,1,0,2,0,0,0,0,0,2,2,2,2,0,0,0,3,0,0,0,2,1,0,5,3,2,2,3,2,0,2,1,3,PAAD
4,0,3,1,1,1,4,0,0,1,1,4,4,3,0,1,3,0,1,2,2,3,1,3,1,3,3,1,2,2,0,0,2,3,1,3,3,2,2,3,0,2,0,1,1,0,0,1,1,1,3,2,2,0,0,2,2,1,3,1,0,0,2,2,0,1,0,1,0,3,0,3,0,0,4,2,1,0,0,0,1,1,0,2,1,0,4,0,0,0,0,1,0,1,2,1,1,0,2,0,0,1,0,3,0,2,1,2,3,0,4,0,2,0,2,1,1,0,0,0,1,1,2,1,1,1,0,3,0,1,0,1,1,0,5,3,2,0,3,2,1,3,0,3,PAAD
5,1,3,1,2,2,5,2,0,2,2,4,4,4,0,1,3,0,2,2,1,4,2,2,0,4,4,1,2,2,0,0,2,3,2,4,2,2,2,3,0,2,2,2,1,0,0,0,2,1,3,2,2,1,0,2,2,1,3,2,0,0,0,2,0,0,0,1,1,2,0,3,0,0,4,2,0,0,0,2,2,1,0,2,1,0,4,0,2,0,0,2,0,0,2,2,2,0,2,1,0,2,0,3,0,2,0,1,3,0,4,0,0,2,2,0,0,0,1,0,2,0,2,0,2,0,0,3,2,0,0,2,2,0,5,3,2,0,3,3,0,2,0,3,PAAD
